Risk Ref,Risk Title,Description,Likelihood Score,Impact Score,Risk Score,Risk Category,Risk Owner,Business Unit,Assessed By,Assessment Date,Response,Existing Controls,Freq Min (per yr),Freq Max (per yr),Loss Min (GBP),Loss Max (GBP)
RR-114,Unpatched internet-facing appliance exploited,A known exploited vulnerability in an edge appliance is not remediated inside the window.,4,4,16,Vulnerability management,Director of Engineering,Group Security,A. Okafor,16/06/2025,Mitigate,Monthly patch cycle; emergency process for known exploited vulnerabilities.,1.1,4.4,285500,2855500
RR-115,End-of-life operating system remains in the payment estate,A host that cannot be upgraded remains in scope for the card environment.,3,4,12,Vulnerability management,Group Head of Fraud,Payments,A. Okafor,2025-05-25,Accept,Compensating network controls; annual exception.,,,,
RR-116,End-of-life operating system remains in the payment estate,A host that cannot be upgraded remains in scope for the card environment.,4,4,16,Vulnerability management,Group Head of Fraud,Corporate IT,R. Delacroix,25/09/2025,Accept,Compensating network controls; annual exception.,,,,
RR-117,Vulnerability remediation exceeds the agreed window,High-severity findings routinely remain open past the policy window.,5,2,10,Vulnerability management,Head of Infrastructure,Platform Engineering,A. Okafor,24/09/2025,Mitigate,Monthly reporting to the risk committee.,8.1,40,1500,25000
RR-118,Vulnerability remediation exceeds the agreed window,High-severity findings routinely remain open past the policy window.,5,2,10,Vulnerability management,Group Head of Fraud,Corporate IT,R. Delacroix,07/07/2025,Mitigate,Monthly reporting to the risk committee.,16,82,1000,20000
RR-119,Vulnerability remediation exceeds the agreed window,High-severity findings routinely remain open past the policy window.,4,2,8,Vulnerability management,Head of Technology Risk,Digital Channels,S. Banerjee,2025-03-25,Mitigate,Monthly reporting to the risk committee.,13,65,2000,29500
RR-120,Unmanaged device connects to an internal network segment,A contractor device joins a segment with access to internal services.,5,2,10,Vulnerability management,Group Head of Fraud,Corporate IT,A. Okafor,2025-07-21,Mitigate,Network access control in two of nine offices.,,,,
RR-121,Security telemetry gap in a critical estate,"A platform emits no usable telemetry, so an intrusion there would not be seen.",5,4,20,Detection & response,Head of Payments Operations,Data Platform,T. Novak,2025-06-26,Mitigate,Log forwarding configured elsewhere.,,,,
RR-122,Security telemetry gap in a critical estate,"A platform emits no usable telemetry, so an intrusion there would not be seen.",3,3,9,Detection & response,Head of Infrastructure,Platform Engineering,J. Lindqvist,2025-05-02,Mitigate,Log forwarding configured elsewhere.,,,,
RR-123,Security telemetry gap in a critical estate,"A platform emits no usable telemetry, so an intrusion there would not be seen.",5,3,15,Detection & response,Head of Customer Operations,Group Security,A. Okafor,2025-07-10,Mitigate,Log forwarding configured elsewhere.,,,,
RR-124,Out-of-hours incident response depends on a single person,One named individual holds the knowledge to contain a major incident overnight.,3,3,9,Detection & response,Data Protection Officer,Group Security,A. Okafor,2025-02-24,Mitigate,On-call rota; no documented runbook for the critical path.,,,,
RR-125,Out-of-hours incident response depends on a single person,One named individual holds the knowledge to contain a major incident overnight.,2,4,8,Detection & response,Director of Engineering,Platform Engineering,J. Lindqvist,2025-01-19,Mitigate,On-call rota; no documented runbook for the critical path.,,,,
RR-126,Detection rules not maintained after a platform migration,Rules reference fields that no longer exist and fire on nothing.,5,3,15,Detection & response,Head of Technology Risk,Group Security,A. Okafor,2025-05-15,Mitigate,"Quarterly rule review, last completed nine months ago.",,,,
